# NEST version: 3.9.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
3476	500.400
1108	501.600
2848	503.300
2028	504.100
3340	504.900
1252	505.100
260	505.400
3092	505.600
2212	507.200
3220	511.100
2508	518.600
2616	518.800
3208	519.100
1808	519.600
2460	519.900
884	521.300
2896	522.200
488	522.400
1980	522.600
2500	522.900
2476	524.100
2812	524.800
768	536.300
612	539.500
576	540.100
840	541.400
2524	543.200
500	555.800
320	556.600
352	556.900
2424	557.100
580	557.500
2476	557.700
1008	557.900
3656	558.100
996	558.200
3240	558.300
3520	558.300
236	558.400
2184	559.400
824	574.600
488	575.400
3744	575.400
1724	575.600
2120	576.400
3508	576.700
3180	576.800
184	577.000
3812	577.000
2544	577.600
1184	578.000
1396	578.000
3320	578.100
4028	578.400
3936	592.400
3084	593.400
1548	596.400
2912	596.500
20	597.900
1964	600.900
3632	602.800
824	606.200
2644	609.900
2120	613.000
2640	614.400
4024	615.200
2684	617.800
2736	617.800
2812	618.600
3932	621.500
440	621.600
2168	625.400
2032	627.700
1228	629.900
1744	631.200
2664	631.700
188	632.800
3516	637.000
612	643.500
1980	643.900
3192	645.600
1912	647.800
2452	647.800
680	648.900
3892	649.600
2896	651.100
1260	651.400
332	652.500
3812	653.300
3056	658.000
3676	667.600
3836	668.200
3648	669.300
4072	669.300
1416	669.700
2524	669.800
3524	669.900
148	670.000
2404	670.000
2588	670.000
2200	670.100
2424	670.700
3220	671.100
1556	672.000
1672	672.300
700	672.600
632	686.800
2684	687.000
460	687.800
344	687.900
1332	688.000
2548	688.000
2928	688.100
4040	688.100
884	688.200
936	688.200
2328	688.300
1284	688.500
3200	688.500
2464	688.800
1932	688.900
3880	688.900
1640	689.200
624	705.300
1892	706.700
952	707.600
2892	707.600
2956	708.700
2100	709.200
1840	709.600
4064	709.800
1836	723.400
3148	723.400
3408	723.500
2120	723.900
3452	723.900
3708	724.000
1264	724.300
2500	724.600
3600	724.600
1600	724.800
2388	725.000
612	725.200
2288	725.200
1172	725.400
2608	725.400
500	725.600
704	725.700
3484	740.200
1684	740.300
1252	740.700
2640	740.800
316	741.000
1108	741.000
1344	741.200
3744	741.200
3068	741.400
1280	741.500
612	741.600
3816	741.600
344	741.800
1236	741.800
1668	741.800
3284	741.800
888	741.900
2620	742.000
1632	742.100
1956	742.100
352	742.200
1972	742.500
3304	742.500
384	742.600
1792	742.800
3240	742.900
1976	743.000
2412	743.000
104	761.100
2900	762.000
3124	762.100
3884	762.100
116	762.200
2772	762.200
3172	762.200
768	762.300
1020	762.600
