# NEST version: 3.9.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
9738	500.100
10010	500.300
10066	500.900
10462	502.300
10638	502.800
10386	503.300
9902	505.700
10378	505.700
10326	506.400
10678	506.400
10306	507.000
10714	507.500
10018	508.700
9974	513.300
10690	514.800
10198	514.900
10442	516.200
10382	517.700
10450	517.800
10422	518.000
10182	518.100
10098	518.400
10066	518.800
10734	519.100
10078	520.000
9810	520.300
9938	520.500
10142	520.600
10746	520.600
10242	520.700
9806	520.900
9986	521.000
10542	521.200
9742	521.500
10702	523.100
10186	523.400
9698	523.900
9850	524.300
10114	525.000
10470	525.100
10190	529.500
9910	530.900
9834	532.800
10662	533.300
10354	533.800
10698	533.800
10094	534.300
10646	534.900
10458	535.200
10214	535.300
10294	535.400
10038	535.500
10030	536.300
9978	536.800
10498	539.300
9690	539.400
10366	539.400
10394	539.400
9734	539.800
9810	540.000
10554	541.900
10606	542.000
10590	542.300
10010	542.400
10678	543.900
10018	544.000
10382	544.000
10462	544.600
10714	550.200
10138	550.300
9698	550.600
9954	550.700
10250	550.800
9990	552.100
10734	552.400
9710	552.600
9834	555.300
10670	555.400
9882	555.700
10418	555.800
9798	557.600
10422	557.700
10658	558.200
10434	560.400
9702	560.700
10266	560.700
10082	561.200
10614	561.200
10646	561.200
10214	568.500
10630	570.700
10190	571.900
10626	572.100
9754	572.800
10170	573.500
9970	574.000
10102	574.100
10538	574.300
10590	574.400
10722	574.500
10314	574.600
10226	574.700
9978	574.800
9870	575.100
10010	575.600
9814	576.500
10078	577.100
9958	577.200
9986	577.200
10586	577.600
10126	577.800
10094	578.100
10326	578.200
10558	578.300
10310	578.500
10022	578.700
10202	581.900
10678	582.000
10086	582.200
10438	587.500
9834	589.300
10054	591.000
10582	591.100
10554	591.700
9810	592.200
10010	593.600
10018	593.800
10730	594.200
9990	594.400
10650	595.000
10634	595.100
10218	596.200
10130	596.500
10566	596.500
9718	599.300
10670	599.900
9762	600.200
10498	600.800
10070	602.700
9874	604.600
10598	605.600
10518	605.800
10302	606.400
10626	609.500
9806	610.100
10318	610.600
10062	611.400
10470	612.100
10270	613.000
10042	613.100
9954	614.300
10490	614.300
10566	614.900
9910	615.000
9994	615.100
10058	615.400
10534	617.200
10050	617.700
9794	617.800
9810	618.200
10550	618.500
10266	618.900
10158	619.000
9974	619.300
10638	619.500
9750	620.800
10362	621.000
10498	621.600
10066	623.800
10242	624.500
10386	624.800
10510	625.600
10602	625.600
9698	625.700
10690	625.700
10306	625.900
10010	626.000
10530	626.300
10154	627.000
9742	627.100
10214	627.600
10782	628.400
10422	628.500
10646	629.300
9694	630.700
10274	630.900
10038	633.200
10542	634.700
10054	635.400
9834	636.000
10354	636.800
10186	639.200
10622	639.200
10238	640.500
10170	641.900
10462	643.900
9766	644.000
10098	644.100
9774	644.500
10350	647.100
9870	647.300
10090	648.000
10722	648.900
9718	649.200
10550	650.000
10294	650.200
9982	650.500
9998	650.600
10110	651.600
9778	652.400
10750	652.500
10410	652.700
10062	652.800
10150	652.800
10546	652.900
10782	653.200
10422	653.500
10694	654.100
10342	655.200
10578	658.200
10446	659.800
10202	660.400
10114	660.500
10166	661.400
10034	664.100
10442	667.000
10042	667.800
10386	667.800
10554	667.900
9782	668.500
10250	668.700
10366	668.900
9994	669.500
9862	669.600
10346	669.800
10582	670.400
10006	670.500
9986	670.800
10158	671.000
10418	673.000
10438	675.800
10046	679.800
10382	683.500
10070	683.800
10018	684.300
10190	684.800
10230	685.100
10446	685.100
10170	685.400
10606	685.600
10694	685.700
10726	685.700
10310	685.800
10686	686.300
9702	686.500
10646	686.700
9834	687.900
10146	688.600
10202	688.600
10082	689.000
10722	689.400
10498	690.800
10490	690.900
10398	691.200
10078	691.400
10678	692.200
10254	693.100
10130	695.700
10338	699.400
10278	699.500
10462	701.100
10050	701.300
10626	701.600
10746	702.400
10046	702.700
10094	702.800
10614	703.400
10106	704.000
10302	704.800
10058	704.900
9702	706.300
10434	706.400
10334	706.600
10354	707.100
9862	707.900
10650	708.800
9794	708.900
10526	709.300
9870	709.900
9894	710.400
10522	710.400
10618	710.500
10694	710.700
10226	710.900
9958	711.200
10062	711.300
10682	713.000
10250	713.800
10206	713.900
10426	714.100
10234	717.800
10718	720.000
10018	720.200
10582	720.700
10246	720.900
9898	721.300
9834	722.500
10366	722.800
10442	722.800
10730	722.800
10218	723.000
9866	723.100
10370	723.400
10470	724.400
10270	724.700
9750	724.800
10734	725.100
10066	725.800
9778	726.000
10494	726.700
10306	729.700
10694	734.700
10390	734.900
10506	737.500
10190	738.000
9782	738.100
10682	738.100
10422	738.200
9730	738.800
10578	739.700
9958	739.900
10294	740.100
10398	740.100
10250	740.200
10662	740.200
9726	740.500
10298	740.600
9766	740.900
9814	741.200
10098	741.700
10782	741.800
10446	741.900
9834	742.300
10766	742.700
9922	742.800
10166	742.900
10626	742.900
10010	743.000
10130	743.100
10394	743.400
9862	743.700
10222	744.800
9986	746.700
10722	749.300
10450	751.100
9754	752.400
9970	753.300
10606	754.100
10018	754.800
10366	757.200
10046	759.200
10338	759.900
9918	760.000
10150	760.000
10670	760.000
10526	760.100
10226	760.200
10690	760.200
10078	760.400
9994	760.800
10674	760.900
9718	761.000
10106	761.600
10382	762.400
9838	763.700
9702	764.500
9734	764.600
9882	764.600
10422	764.900
10354	765.600
9802	767.000
10082	772.300
10698	773.200
10126	773.700
9738	774.400
10214	775.300
10570	776.000
10146	777.500
9722	778.600
10434	779.900
10582	779.900
10658	780.100
10722	780.400
10762	780.400
9814	780.600
10782	783.100
9698	783.400
10238	784.500
10738	784.700
10550	784.900
10254	785.200
9886	785.400
10182	788.800
9874	790.900
10382	792.500
10406	792.800
10202	794.300
10574	794.600
10502	795.800
9866	796.000
10190	796.100
10122	796.500
9986	796.700
9906	797.000
10698	797.100
10462	797.400
10022	797.900
10082	797.900
10438	799.300
10090	799.400
10266	799.700
9814	799.900
10450	800.000
10150	800.900
10470	801.300
9746	806.500
9918	807.500
10126	808.300
9914	808.400
10474	808.900
10226	809.600
10098	809.800
9766	810.200
10362	810.700
10014	810.800
10174	810.800
10458	811.200
10238	811.300
9862	811.400
10154	811.600
10234	813.100
10366	813.400
10086	813.500
9978	813.600
9850	814.100
9974	814.600
9834	816.100
10746	817.900
10566	820.700
10442	824.200
10378	824.600
10490	824.900
10306	825.000
9902	825.300
10358	825.300
10774	825.300
10242	826.200
10382	826.300
9986	826.400
10326	826.500
10138	827.700
10102	827.800
10710	829.800
10302	831.000
10094	831.700
9706	832.300
10214	832.300
10286	832.400
10734	832.900
10630	833.600
10386	834.100
10590	834.600
10018	836.000
9726	837.300
9814	842.300
9742	843.300
10666	843.300
10646	843.700
10550	844.800
10222	844.900
10682	846.200
10466	847.100
10614	847.200
10650	847.400
10078	847.600
9754	848.000
10086	848.000
10518	848.000
10366	848.900
10782	849.300
10730	849.800
10254	852.200
10114	852.600
10430	853.400
10202	854.100
10694	857.700
9786	858.700
10506	859.300
10138	859.500
9810	862.800
9938	863.200
10066	863.400
10718	866.100
10758	866.800
9690	867.100
10150	867.200
10398	868.000
10166	868.600
9742	868.800
10390	868.900
10362	869.000
9778	869.700
10674	875.100
10606	875.500
10682	876.300
10170	878.600
9706	879.200
9710	879.500
10190	879.800
10178	881.400
9850	881.600
9838	882.000
9910	882.100
10202	882.100
10618	882.500
10266	882.800
10038	883.500
10158	884.000
10706	884.000
10162	884.200
10470	884.400
9726	884.500
10678	884.500
9798	884.600
9982	884.600
10318	884.600
10558	884.800
10578	884.900
10214	887.700
10302	887.700
10062	890.200
9958	891.800
10226	892.600
10058	893.600
10554	894.100
10670	897.400
9990	897.500
10382	900.100
9914	900.200
9986	900.900
10658	901.200
9994	901.600
10234	902.700
10334	903.900
10434	904.100
10590	905.200
10214	905.900
9734	907.200
10146	908.600
10498	909.300
10534	909.700
10370	910.400
10254	910.800
10718	911.000
10098	911.200
9834	911.300
10082	912.900
10378	913.100
10754	913.600
10106	913.700
10650	913.900
9898	914.200
10462	917.700
10538	920.200
10482	921.000
9754	922.200
9786	923.700
10714	925.100
10366	925.700
10722	926.300
10190	926.400
9966	926.900
9814	927.000
10386	927.600
10350	927.800
10730	929.300
10746	929.900
9946	931.500
10094	931.500
10502	932.000
10402	932.200
10030	932.500
10446	933.700
9838	933.800
10022	933.800
9994	934.800
10186	936.400
10238	936.700
9806	937.300
10390	937.500
10654	938.000
10682	938.400
10214	939.900
10310	940.400
9850	941.700
10542	941.700
10690	942.000
10114	942.300
10206	943.200
10150	943.700
10222	943.700
9874	944.000
10018	944.500
10610	946.900
10254	947.500
10718	948.300
9842	950.200
9690	956.200
9938	956.500
10490	956.500
10762	956.500
9802	956.700
10478	957.300
10082	957.800
9834	958.300
9742	958.500
10010	958.800
10382	959.000
10046	959.600
10190	959.700
9990	960.300
10746	960.300
9830	960.500
10722	960.900
10506	961.000
10646	961.600
10218	961.700
10578	961.700
10154	961.800
9754	963.600
10470	964.300
9806	970.100
10350	972.200
10702	972.200
10030	973.100
10706	974.400
10366	974.500
10354	974.900
10014	975.100
10766	975.200
10294	977.300
10522	977.600
10526	977.800
9882	978.700
10090	978.900
9722	979.400
10746	979.500
9794	980.300
9986	982.300
10258	983.900
10714	984.400
10442	985.100
10270	986.100
10234	987.100
9994	987.900
10098	988.000
10398	988.100
10094	988.400
10254	988.700
10554	989.500
10158	989.600
10470	990.100
10226	990.400
10570	990.600
10110	991.200
10466	991.300
10190	991.600
10238	992.200
10338	992.400
10214	993.700
10366	993.800
10750	994.000
9810	994.100
9958	994.900
10138	995.300
9734	996.900
9758	998.000
10422	998.500
10662	1002.600
10030	1004.400
9990	1006.200
10434	1006.300
10498	1006.600
10646	1006.700
10590	1007.200
10186	1007.300
10722	1008.000
10734	1008.500
10018	1008.600
10406	1008.800
10170	1010.100
10686	1010.200
10126	1010.400
10502	1010.800
9862	1010.900
9698	1011.900
10746	1015.100
9834	1019.300
10738	1019.700
10710	1023.700
9850	1024.000
10302	1024.100
10354	1024.300
9718	1024.500
10258	1025.000
10422	1025.100
9694	1025.900
10218	1026.000
9754	1027.100
10402	1027.200
10538	1027.700
10274	1027.800
10138	1028.000
9874	1030.200
10466	1030.300
9870	1030.800
