# NEST version: 3.9.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
10025	500.700
9761	500.900
10065	501.000
9797	501.500
9813	503.100
9885	503.500
10517	503.600
10405	503.900
10757	504.400
9933	504.700
10765	505.100
10429	506.000
9821	506.500
10373	506.500
10389	506.500
10365	509.400
10317	509.700
10581	509.900
10473	510.200
10269	514.100
10125	516.500
9705	516.600
10249	516.700
10209	517.400
10689	518.200
10349	518.700
9929	518.800
10033	519.300
10589	519.400
10669	519.900
10005	520.200
9721	520.900
9725	521.900
10325	522.100
10629	523.300
9925	525.200
10297	526.200
10013	527.100
10165	527.100
9865	527.300
9697	529.800
9949	534.100
10021	537.000
9973	537.100
10237	538.000
9821	538.700
10749	538.800
9833	539.600
10701	540.500
10481	542.100
10217	542.200
10505	542.500
10209	544.500
10681	544.600
10285	545.100
10393	545.500
9969	545.800
10509	546.700
10317	547.000
10341	547.400
10081	547.700
10137	549.600
10697	552.000
9989	552.600
9785	552.900
10125	553.300
9721	555.600
9813	555.700
10429	556.700
9925	556.800
9701	557.100
9761	557.300
9841	557.800
9697	557.900
9941	558.100
10249	558.200
10361	558.600
9789	559.400
10573	559.600
10197	561.000
10661	561.000
9845	561.900
9729	565.900
9885	566.300
9953	568.200
10065	572.600
10681	573.600
9801	573.800
10405	573.900
10125	574.200
10317	574.200
10589	574.300
10633	574.300
10437	574.700
10453	574.900
10409	575.000
10649	575.100
9853	575.200
10025	575.200
10141	575.400
10009	575.500
10597	579.300
9813	581.800
10201	582.100
10653	583.300
10085	584.500
10729	585.200
10669	586.200
9973	587.000
10413	587.500
10509	588.400
10257	589.400
10641	589.600
10605	589.900
10253	590.600
10529	592.200
10665	592.400
10105	592.900
10281	593.500
10429	593.900
9997	594.200
9761	596.000
10137	596.300
10057	596.800
9925	597.300
9781	599.000
9785	599.700
9905	599.700
10141	601.100
10681	601.100
9801	603.300
10733	604.800
10453	608.100
9969	609.100
9841	609.800
10365	610.000
9813	610.400
10113	610.500
10749	611.000
10697	611.400
10045	611.600
10577	614.200
10321	614.300
10121	614.400
10361	614.600
10173	614.800
10645	616.500
9933	618.400
10001	618.600
10381	618.900
10037	621.200
10249	622.400
10193	623.000
10261	623.000
10449	624.400
10281	626.800
9977	626.900
9813	627.400
