# NEST version: 3.9.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
831	500.400
2463	502.200
2743	505.300
359	505.700
607	510.500
539	514.400
2183	518.900
1555	521.600
3703	522.100
651	522.500
3071	525.600
63	525.900
1419	526.100
2827	538.000
2999	539.100
1099	539.300
3355	540.100
2735	541.500
1999	543.000
1003	543.500
1323	544.800
1435	544.900
2643	550.800
295	557.200
1499	557.200
1823	557.800
3747	557.800
1327	558.000
2471	558.000
3527	558.000
783	558.300
3651	558.300
3923	558.300
2359	558.500
1095	558.600
1487	558.800
4107	559.100
3443	574.500
587	574.800
1883	575.300
1143	575.400
747	575.800
487	576.000
3831	576.300
1323	577.100
3295	595.200
3823	595.300
559	595.500
1811	598.900
3247	599.100
1851	599.400
1663	602.400
671	613.000
623	616.100
2743	616.600
107	623.900
999	626.400
2395	627.400
2827	634.400
167	636.700
3711	645.400
3623	646.300
355	651.200
3651	651.500
1939	652.000
4079	652.500
2091	652.600
2179	652.600
2439	652.700
1727	652.800
2359	654.000
1371	669.300
3419	669.500
3623	669.700
1691	670.000
3523	670.000
223	670.100
2203	670.200
1987	670.300
239	670.400
983	670.500
2211	670.700
111	671.400
247	672.200
4119	686.200
2459	687.300
1823	687.500
2107	687.500
1107	687.600
3603	687.900
2743	688.100
3443	688.200
2343	688.300
2375	688.300
1447	688.600
1323	688.700
1131	688.800
1219	688.900
1091	689.000
1171	689.000
511	689.100
1835	689.300
4059	689.300
2735	689.800
3643	690.400
4135	691.100
3747	706.900
1627	707.600
495	708.600
1099	708.600
3847	709.100
4047	710.900
2471	723.900
2247	724.200
15	724.500
391	724.600
3967	724.700
2415	725.000
4023	725.000
2475	725.300
2467	725.500
1843	725.800
2727	726.000
491	726.100
3655	739.200
2459	740.300
3651	740.500
2615	740.900
3543	741.000
2943	741.100
3167	741.200
1643	741.300
3747	741.600
611	741.800
2875	741.800
3355	741.800
3083	741.900
4043	741.900
3055	742.000
3239	742.000
1703	742.100
295	742.200
699	742.300
1571	742.300
2579	742.400
379	742.500
1595	742.500
455	742.800
3891	761.200
3307	761.400
851	762.000
3407	762.100
3723	762.100
1767	762.200
1067	762.400
2403	762.600
3851	762.800
1975	762.900
2055	763.000
3623	763.200
699	763.400
2271	764.300
15	779.600
1343	780.000
3783	780.800
631	780.900
1887	781.300
3527	781.600
1219	781.900
3651	783.000
3275	783.500
1443	783.600
4071	783.600
2603	784.900
3511	797.900
3079	798.200
591	798.800
2383	798.800
2095	799.000
3443	799.600
1211	808.800
3387	809.300
1135	810.400
3423	810.400
4019	810.400
623	810.500
2459	810.600
2571	810.600
211	810.900
1623	811.100
607	811.300
1443	811.500
3715	811.500
775	811.600
667	811.700
3195	811.800
3971	812.600
3883	813.100
4107	813.200
179	813.900
3655	814.800
1215	827.500
2147	829.200
2735	831.600
3247	835.800
3315	836.300
3179	847.000
2007	847.200
3663	847.800
3943	847.900
1639	848.400
2191	848.500
2447	848.500
1731	848.600
2351	848.700
1111	848.900
107	849.000
907	849.100
3423	849.300
2763	850.100
2971	865.600
551	866.200
1359	866.500
2719	866.700
59	867.300
1003	867.300
2451	867.400
2443	867.800
175	868.200
4103	881.600
4083	882.200
2739	884.600
1163	884.700
2611	884.800
2083	886.000
379	886.600
4115	888.700
3499	902.300
3683	908.000
2727	910.400
2239	910.600
1571	911.000
167	911.600
99	912.300
999	912.900
1951	913.600
1727	914.600
1415	924.100
1147	925.600
319	926.200
3347	927.100
1735	929.000
1463	929.700
1155	930.400
3463	931.000
807	934.600
1883	943.400
487	943.500
2503	943.900
987	944.000
2647	944.900
1387	945.900
2195	946.800
4119	957.400
3243	957.500
3711	958.300
2635	958.700
2555	959.100
4103	959.600
1299	959.800
1951	959.800
171	959.900
2827	959.900
2563	960.000
3483	960.600
2375	960.700
3835	975.500
1595	977.500
3367	978.400
3055	985.600
355	986.500
1243	988.600
403	990.300
1899	990.500
2563	991.800
2779	992.700
795	993.400
3379	993.900
3223	994.300
2299	1005.000
899	1007.500
2327	1007.700
435	1007.800
1171	1008.000
1887	1008.300
3051	1008.300
2823	1008.400
3715	1008.500
3439	1008.700
775	1009.300
2599	1009.300
2443	1009.500
1767	1010.200
4115	1025.500
3739	1025.900
1599	1026.900
3663	1027.100
3175	1027.500
2695	1027.600
3803	1027.800
1343	1028.200
283	1028.400
1151	1044.200
1927	1044.200
591	1044.700
2587	1044.700
3147	1044.700
2799	1045.100
2643	1045.400
2723	1046.100
295	1046.300
2351	1047.700
1379	1058.300
591	1064.100
79	1065.000
2323	1066.100
267	1066.700
651	1067.000
3119	1067.000
1847	1068.000
3843	1079.100
447	1080.000
1627	1080.000
1599	1081.300
2359	1082.200
1775	1091.600
643	1092.100
2315	1093.600
223	1094.400
3799	1094.500
667	1094.600
2943	1095.100
3087	1099.700
3123	1110.800
1639	1110.900
2095	1111.000
2587	1111.000
391	1112.000
2579	1112.000
1491	1112.600
211	1113.800
2007	1114.400
1299	1124.900
1835	1125.300
1843	1126.100
1283	1126.200
303	1127.000
1731	1127.600
1223	1127.900
2191	1127.900
3983	1127.900
107	1128.000
1219	1128.600
227	1128.700
3039	1128.800
755	1129.000
2519	1129.700
3371	1130.400
1847	1130.600
579	1131.100
2011	1143.800
1331	1144.400
3511	1144.800
891	1145.300
1775	1145.300
1931	1145.600
243	1145.700
3243	1146.000
1083	1146.400
1739	1146.600
3603	1146.600
1143	1147.600
2519	1147.700
1891	1148.000
2683	1160.400
2467	1160.600
247	1162.200
2043	1162.300
3555	1162.900
2299	1163.300
231	1163.400
591	1163.700
2755	1164.000
1499	1164.200
807	1164.300
3623	1164.300
2187	1164.500
2763	1165.200
647	1175.900
1771	1179.600
1183	1183.400
319	1184.700
1547	1194.300
2543	1195.500
3087	1195.500
3199	1196.200
3503	1196.700
3347	1200.100
4119	1212.900
2743	1214.200
4007	1214.400
2911	1214.500
3279	1214.800
2103	1215.400
1003	1215.500
1571	1215.700
2615	1216.200
2727	1217.100
1415	1217.900
3347	1231.600
3323	1234.300
591	1235.000
2027	1241.400
1247	1243.100
3831	1245.300
3327	1246.500
2927	1246.600
4047	1247.900
2775	1248.100
2351	1248.200
2095	1248.800
1147	1249.100
1019	1249.400
1739	1249.500
91	1249.700
1003	1250.700
787	1251.300
1431	1251.400
4003	1265.900
1375	1266.200
831	1280.000
3087	1281.400
2015	1281.500
3235	1282.700
15	1283.100
675	1283.200
787	1283.200
1847	1283.500
7	1283.600
2439	1283.600
2147	1283.700
2999	1283.900
3359	1284.100
1599	1285.200
3691	1285.500
3707	1285.800
2295	1298.000
3463	1298.200
79	1299.600
1975	1299.600
3403	1300.000
811	1300.300
1459	1300.300
243	1300.500
3515	1300.500
1883	1300.900
3555	1301.700
2743	1302.800
3831	1303.100
1847	1319.000
2475	1319.300
1595	1320.500
1243	1321.400
419	1321.500
1463	1322.400
3315	1323.600
587	1324.400
1035	1334.500
1915	1336.100
391	1342.100
3347	1346.100
2935	1347.700
3651	1351.400
3715	1351.500
1343	1358.600
2451	1364.700
863	1365.100
1491	1365.300
1307	1365.500
2615	1365.500
1219	1365.700
867	1365.800
979	1366.000
2215	1366.300
2827	1366.300
1907	1366.400
3303	1366.500
2575	1366.700
1955	1366.800
3547	1366.800
647	1366.900
2835	1366.900
1335	1367.000
895	1367.400
2551	1367.400
3879	1367.400
223	1367.900
1915	1368.000
4007	1368.000
163	1368.100
4031	1368.400
971	1369.000
2139	1369.100
1499	1369.900
1975	1370.200
615	1385.900
1599	1389.700
135	1389.800
3419	1391.100
475	1392.300
1595	1401.100
2075	1401.400
71	1401.600
35	1401.800
3279	1401.900
1811	1402.200
3195	1402.400
3603	1402.700
795	1402.900
119	1403.400
643	1418.100
1883	1419.000
3791	1419.100
1915	1419.500
1183	1419.800
3467	1420.000
3623	1420.200
3987	1420.200
2059	1420.400
3315	1420.500
663	1420.600
1647	1420.600
1963	1420.900
2143	1420.900
3567	1420.900
947	1421.100
3639	1421.400
1555	1421.900
2627	1422.400
3723	1423.500
675	1438.700
223	1440.500
2215	1442.500
3875	1443.100
1955	1444.000
3839	1444.500
3559	1445.600
383	1457.000
11	1457.500
1219	1461.000
2523	1464.000
1195	1467.500
1131	1468.700
687	1469.400
1283	1470.600
11	1471.000
2187	1471.400
1635	1471.500
3279	1473.600
2283	1475.100
